variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
high_vs_low,High versus low cervical injury,High cervical injury group versus low cervical injury group,Primary injury-level covariate in models,categorical,,1 or 2,1 = High | 2 = Low,missing if level missing,derived from level,C1-C4=High; C5-C8=Low,must be 1 or 2 or missing,NRH004-D004,verified
init_high_vs_low,Initial high versus low cervical injury,Initial pre-rehabilitation high/low injury group,Used for reclassification documentation,categorical,,1 or 2,1 = High | 2 = Low,missing if init_injury_level missing,derived from init_injury_level,C1-C4=High; C5-C8=Low,must be 1 or 2 or missing,NRH004-D004,verified
reclass_on_arrival,Injury reclassified at rehabilitation admission,Direction of injury-level change from pre-rehabilitation report to rehabilitation assessment,Descriptive reclassification variable,categorical,,1-3,1 = Down (Lower Level) | 2 = No Change | 3 = Up (Higher Level),missing if either level missing,derived from init_injury_level and level,Direct numeric comparison assigns the stable direction code,must be 1 through 3 or missing,,documented_from_code
level_and_completeness,Level and completeness group,Joint injury-level and motor-completeness category,Composite descriptive group,categorical,,0-3,"0 = High, Complete Motor | 1 = High, Partial Motor | 2 = Low, Complete Motor | 3 = Low, Partial Motor",missing if either component missing,derived from high_vs_low and comp_vs_part,Direct four-level cross-classification,must be 0 through 3 or missing,Partial motor corresponds to AIS C/D,verified
partial_wean_at_admit,Partial wean before rehabilitation admission,Indicator for partial ventilator wean before inpatient rehabilitation admission,Used for the prespecified paper-analysis exclusion,binary,,0 or 1,0 = N | 1 = Y,blank or documented UNKNOWN or UNKOWN,source CSV weanoffventduringthedayandcontin field,Only explicit prior-to-rehabilitation or prior-to-admission phrases=1; known non-prior states=0; unlisted input rejected,must be 0 or 1 or missing,Admission means inpatient rehabilitation admission; NRH004-D007,verified
wean_during_day,Daytime wean achieved,Patient achieved daytime ventilator weaning,Milestone outcome used in tables and competing-risk analysis,binary,,0 or 1,0 = N | 1 = Y,blank or documented UNKNOWN or UNKOWN,source CSV weanoffventduringthedayandcontin field,N=0; approved affirmative and prior-to-admission literals=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
days_to_daytime_wean,Days to daytime wean,Days from rehabilitation admission to daytime wean,Time-to-event outcome,numeric,days,integer >= 0,,missing when not achieved or source missing,source CSV daytime-wean timing field,String timing field cleaned and destringed,must be nonnegative when present,Prior-to-rehab values are recoded to 0,documented_from_code
wean_24hr,Liberated from IMV,Patient achieved 24-hour liberation from invasive mechanical ventilation,Milestone outcome used in tables and competing-risk analysis,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV weanoffventforfull24hoursyorn field,N and the documented nighttime BiPAP state=0; Y=1; unlisted input rejected,must be 0 or 1 or missing,Narrative exception remains explicit; NRH004-D006,verified
days_to_24hr_wean,Days to liberation from IMV,Days from rehabilitation admission to 24-hour liberation from IMV,Time-to-event outcome,numeric,days,integer >= 0,,missing when not achieved or source missing,source CSV v23 timing field,Specific CPAP note recoded to 1 and destringed,must be nonnegative when present,,documented_from_code
decannulate,Decannulated,Patient achieved tracheostomy decannulation,Milestone outcome used in tables and competing-risk analysis,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV didpatientdecanulateyorn field,N and N.=0; Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
daysfromadmissiontorehabtodecanu,Days to decannulation,Days from rehabilitation admission to decannulation,Time-to-event outcome,numeric,days,integer >= 0,,missing when not achieved or source missing,source CSV retained variable,Used directly in paper and supplemental scripts,must be nonnegative when present,Original long source variable name retained,documented_from_code
weaning_outcome,Weaning outcome at rehabilitation discharge,Ordinal respiratory outcome at rehabilitation discharge,Primary respiratory outcome in proportional-odds model,ordinal categorical,,1-4,1 = Fully Vent Dependent | 2 = Weaned During Day | 3 = Liberated from IMV | 4 = Decannulated,missing when no milestone state can be determined,derived from wean_during_day wean_24hr decannulate,Direct hierarchy assigns the highest achieved milestone with missing-value guards,must be ordered from more support to less support,,documented_from_code
rehab_to_icu,Rehabilitation to ICU transfer,Indicator for transfer from rehabilitation to ICU,Rehabilitation course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV didtheytransfertoicufromrehabyor field,N=0; Y and the documented SICU narrative=1; unlisted input rejected,must be 0 or 1 or missing,Narrative exception remains explicit; NRH004-D006,verified
resp_icu_transfer,Respiratory ICU transfer cause,Indicator that ICU transfer was for a respiratory cause,Rehabilitation course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV iftheytransferredtoicuwascausere field,N and the documented diaphragm-pacer narrative=0; Y=1; unlisted input rejected,must be 0 or 1 or missing,Narrative exception remains explicit; NRH004-D006,verified
pna_at_rehab,Pneumonia at rehabilitation,Indicator for pneumonia during rehabilitation,Rehabilitation course variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV didtheydeveloppnumoniaatrehabyor field,N=0; Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
discharge_to,Discharge location,Ordinal discharge destination at rehabilitation discharge,Primary discharge outcome in proportional-odds model,ordinal categorical,,1-4,1 = LTAC | 2 = SNF | 3 = Home w/ Home Health | 4 = Home,blank or source missing,source CSV dischargelocation field,Explicit established source-label mapping assigns stable codes 1-4; unlisted input rejected,must be ordered from more resource-intensive to less resource-intensive,Preserved behavior outside the eight NRH-004 decisions,documented_from_code
home_vs_facility,Home versus facility discharge,Binary discharge destination grouping,Derived descriptive variable,categorical,,1 or 2,1 = Facility (SNF LTAC) | 2 = Home (+/- HH),missing if discharge_to missing,derived from discharge_to,LTAC/SNF recoded to facility and home categories recoded to home,must be 1 or 2 when discharge_to present,,documented_from_code
outside_hospital,Outside hospital admission,Indicator for admission from an outside hospital,Descriptive pre-rehabilitation variable,binary,,0 or 1,0 = N | 1 = Y,blank,source CSV osh field,N=0; Y=1; unlisted input rejected,must be 0 or 1 or missing,NRH004-D006,verified
injury_date,Date of injury,Calendar date of spinal cord injury,Used to derive admission and discharge dates,date,days since Stata epoch,valid Stata date,,source missing,source CSV dateofinjury field,Parsed from trimmed text using the MD20Y mask,must parse as date,Do not publish row-level dates,documented_from_code
date_admit,Date of rehab admission,Derived rehabilitation admission date,Used as origin for follow-up calculations,date,days since Stata epoch,valid Stata date,,missing if components missing,derived,injury_date + daysfrominjurytoadmissiontorehab,must be date,Do not publish row-level dates,documented_from_code
date_discharge,Date of rehab discharge,Derived rehabilitation discharge date,Used for follow-up calculations,date,days since Stata epoch,valid Stata date,,missing if components missing,derived,injury_date + daysfrominjurytoadmissiontorehab + daystodischargefromrehab,must be date,Do not publish row-level dates,documented_from_code
date_death,Date of death,Post-discharge death date when present,Used for survival follow-up,date,days since Stata epoch,valid Stata date,,missing for non-deceased or source missing,source CSV tod field,Parsed from trimmed text using the MD20Y mask,must parse as date when death is 1,Do not publish row-level dates,documented_from_code
time_to_censor_death,Follow-up to death or censoring from rehabilitation admission,Days from rehabilitation admission to death or administrative censoring,Kaplan-Meier time variable,numeric,days,integer >= 0,,missing if components missing,derived,date_death - date_admit if death; otherwise the numeric date derived from nrh_admin_censor_date_iso minus date_admit,must be nonnegative,nrh_admin_censor_date_iso is 2023-09-30 and is controlled by NRH004-D008,verified
time_to_censor_death_dc,Follow-up to death or censoring from rehabilitation discharge,Days from rehabilitation discharge to death or administrative censoring,Supplemental descriptive survival variable,numeric,days,integer >= 0,,missing if components missing,derived,date_death - date_discharge if death; otherwise the numeric date derived from nrh_admin_censor_date_iso minus date_discharge,must be nonnegative,Changing the 2023-09-30 constant requires a new signed decision and full baseline review,verified
injury_group4,Finer injury level group,Finer cervical injury grouping used in author-response supplemental figures,Supplemental derived variable,categorical,,1-4,1 = C1-C2 | 2 = C3-C4 | 3 = C5-C6 | 4 = C7-C8,missing if level missing,supplemental script,Generated from level in the unchanged supplemental sensitivity script,must be 1-4 for included rows,C8 is accepted prospectively and the C7-C8 grouping remains unchanged under NRH004-D004,verified
discharge_to_decann,Discharge destination among decannulated patients,Reduced discharge category used in decannulated subgroup supplemental analysis,Supplemental derived variable,categorical,,1-3,1 = SNF | 2 = Home w/ HH | 3 = Home,missing for LTAC or non-decannulated subgroup rows,supplemental script,Generated from discharge_to for subgroup visualization/modeling,must be 1-3 when used,,documented_from_code
output_fig2_stacked_states,Figure 2 stacked states,Generated publication figure for daily ventilator-weaning and discharge states,Output artifact,file,TIFF,local generated file,,not public by default,paper analysis output,Exported from stackedcount under Results and Figures/<run_id> (or <date> for direct legacy execution),generated output only,May not be tracked in git,documented_from_code
output_fig3_ordinal_regressions,Figure 3 ordinal regressions,Generated publication figure for proportional-odds models,Output artifact,file,TIFF,local generated file,,not public by default,paper analysis output,Exported from coefplot under Results and Figures/<run_id> (or <date> for direct legacy execution),generated output only,Requires user-written coefplot command,documented_from_code
output_supp_cifs,Supplemental cumulative incidence figure,Generated supplemental figure for daytime wean liberation from IMV and decannulation,Output artifact,file,TIFF,local generated file,,not public by default,paper analysis output,Generated from Fine-Gray models and graph combine under Results and Figures/<run_id> (or <date> for direct legacy execution),generated output only,,documented_from_code
output_fig4_km_death,Figure 4 mortality KM curves,Generated publication Kaplan-Meier figure by discharge and weaning milestone,Output artifact,file,TIFF,local generated file,,not public by default,paper analysis output,Generated from sts graph and graph combine under Results and Figures/<run_id> (or <date> for direct legacy execution),generated output only,,documented_from_code
output_author_response_table,Author response adjusted home-discharge probabilities,Generated CSV correspondence table for author response,Output artifact,file,CSV,local generated file,,not public by default,supplemental analysis output,Exported under Results and Figures/<run_id> (or <date> for direct legacy execution),generated output only,,documented_from_code
